web-scraper-order,web-scraper-start-url,procesor,procesor-href,Nazwa,Socket,Image-src,Frequency,Cache,Cores,Cena
"1697884211-37","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/735711-procesor-amd-ryzen-3-amd-ryzen-3-4100.html","AMD Ryzen 3 4100","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_4_12_45_38_587_00.jpg","3.8 GHz","6 MB","4 rdzenie","319,00 zł"
"1697884214-38","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179909-procesor-intel-core-i9-intel-core-i9-14900kf.html","Intel Core i9-14900KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_12_9_1_5_805_00.jpg","3.2 GHz","36 MB","24 rdzenie","2 899,00 zł"
"1697884217-39","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179926-procesory-intel-core-i5-intel-core-i5-14600kf.html","Intel Core i5-14600KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_12_9_16_21_154_00.jpg","3.5 GHz","24 MB","14 rdzeni","1 549,00 zł"
"1697884221-40","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702227-procesor-intel-core-i7-intel-core-i7-12700f.html","Intel Core i7-12700F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_43_8_505_00.jpg","2.1 GHz","25 MB","12 rdzeni","1 479,00 zł"
"1697884224-41","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1072683-procesor-amd-ryzen-9-amd-ryzen-9-7950x.html","AMD Ryzen 9 7950X","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_25_12_54_39_334_03.jpg","4.5 GHz","80 MB","16 rdzeni","2 849,00 zł"
"1697884228-42","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/564466-procesory-intel-core-i5-intel-core-i5-10400.html","Intel Core i5-10400","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_6_15_52_43_481_00.jpg","2.9 GHz","12 MB","6 rdzeni","699,00 zł"
"1697884231-43","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1105319-procesor-amd-ryzen-7-amd-ryzen-7-7700.html","AMD Ryzen 7 7700","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_10_13_37_28_110_00.jpg","3.8 GHz","40 MB","8 rdzeni","1 599,00 zł"
"1697884234-44","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179921-procesor-intel-core-i7-intel-core-i7-14700k.html","Intel Core i7-14700K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_12_9_41_30_179_00.jpg","3.4 GHz","33 MB","20 rdzeni","2 249,00 zł"
"1697884238-45","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/500097-procesor-amd-ryzen-3-amd-ryzen-3-3200g.html","AMD Ryzen 3 3200G","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_19_10_21_7_743_00.jpg","3.6 GHz","6 MB","4 rdzenie","349,00 zł"
"1697884242-46","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/596730-procesor-intel-core-i3-intel-core-i3-10100f.html","Intel Core i3-10100F","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_6_16_8_32_905_00.jpg","3.6 GHz","6 MB","4 rdzenie","329,00 zł"
"1697884246-47","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/689606-procesor-intel-core-i9-intel-core-i9-12900k.html","Intel Core i9-12900K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_26_7_49_18_782_00.jpg","3.2 GHz","30 MB","16 rdzeni","2 149,00 zł"
"1697884250-48","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/626763-procesor-intel-core-i7-intel-core-i7-11700f.html","Intel Core i7-11700F","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_10_33_19_864_00.jpg","2.5 GHz","16 MB","8 rdzeni","1 049,00 zł"
"1697884254-49","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1175398-procesor-amd-ryzen-5-amd-ryzen-5-7500f-oem.html","AMD Ryzen 5 7500F OEM","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_5_9_30_50_444_00.jpg","3.7 GHz","38 MB","6 rdzeni","849,00 zł"
"1697884258-50","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/689633-procesor-intel-core-i9-intel-core-i9-12900kf.html","Intel Core i9-12900KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_26_7_26_53_242_00.jpg","3.2 GHz","30 MB","16 rdzeni","2 049,00 zł"
"1697884263-51","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/597434-procesor-amd-ryzen-9-amd-ryzen-9-5950x.html","AMD Ryzen 9 5950X","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/10/pr_2020_10_9_14_6_57_190_00.jpg","3.4 GHz","72 MB","16 rdzeni","2 049,00 zł"
"1697884266-52","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/689603-procesor-intel-core-i7-intel-core-i7-12700k.html","Intel Core i7-12700K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_26_7_35_16_132_00.jpg","3.6 GHz","25 MB","12 rdzeni","1 549,00 zł"
"1697884270-53","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702241-procesor-intel-core-i3-intel-core-i3-12100.html","Intel Core i3-12100","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_28_17_439_00.jpg","3.3 GHz","12 MB","4 rdzenie","579,00 zł"
"1697884274-54","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1072706-procesor-amd-ryzen-9-amd-ryzen-9-7900x.html","AMD Ryzen 9 7900X","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_25_12_54_39_334_03.jpg","4.7 GHz","76 MB","12 rdzeni","1 999,00 zł"
