web-scraper-order,web-scraper-start-url,link,link-href,name,cena,chipset,memoery,memorytype,image-src
"1698054416-125","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1156774-karta-graficzna-nvidia-gigabyte-geforce-rtx-4060-windforce-oc-8gb-gddr6.html","Gigabyte GeForce RTX 4060 Windforce OC 8GB GDDR6","1 699,00 zł","GeForce RTX 4060","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_28_13_4_7_516_00.jpg"
"1698054422-126","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1181903-karta-graficzna-nvidia-msi-geforce-rtx-4070-ventus-2x-oc-12gb-gddr6x.html","MSI GeForce RTX 4070 VENTUS 2X OC 12GB GDDR6X","3 099,00 zł","GeForce RTX 4070","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_18_12_28_21_262_00.jpg"
"1698054427-127","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/364184-karta-graficzna-amd-sapphire-radeon-rx-550-pulse-4gb-gddr5.html","Sapphire Radeon RX 550 PULSE 4GB GDDR5","559,00 zł","Radeon™ RX 550","4 GB","GDDR5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/5/pr_2017_5_9_13_6_18_308.jpg"
"1698054434-128","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/714992-karta-graficzna-amd-msi-radeon-rx-6500-xt-mech-2x-oc-4gb-gddr6.html","MSI Radeon RX 6500 XT MECH 2X OC 4GB GDDR6","819,00 zł","Radeon™ RX 6500 XT","4 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_19_7_52_25_755_03.jpg"
"1698054440-129","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1085977-karta-graficzna-nvidia-msi-geforce-rtx-4080-gaming-x-trio-16gb-gddr6x.html","MSI GeForce RTX 4080 GAMING X TRIO 16GB GDDR6X","6 499,00 zł","GeForce RTX 4080","16 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_4_22_54_30_706_00.jpg"
"1698054445-130","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1106923-karta-graficzna-nvidia-asus-geforce-rtx-4070-ti-tuf-gaming-oc-12gb-gddr6x.html","ASUS GeForce RTX 4070 Ti TUF Gaming OC 12GB GDDR6X","4 699,00 zł","GeForce RTX 4070 Ti","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_11_8_49_56_735_00.jpg"
"1698054451-131","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1116315-karta-graficzna-amd-sapphire-radeon-rx-7900-xtx-pulse-gaming-oc-24gb-gddr6.html","Sapphire Radeon RX 7900 XTX PULSE GAMING OC 24GB GDDR6","5 049,00 zł","Radeon™ RX 7900 XTX","24 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_10_17_41_27_411_05.jpg"
"1698054458-132","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1131074-karta-graficzna-nvidia-msi-geforce-rtx-4070-gaming-x-trio-12gb-gddr6x.html","MSI GeForce RTX 4070 GAMING X TRIO 12GB GDDR6X","3 799,00 zł","GeForce RTX 4070","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_11_11_49_28_882_09.jpg"
"1698054466-133","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1146017-karta-graficzna-nvidia-msi-geforce-rtx-4060-ti-ventus-3x-oc-8g-gddr6.html","MSI GeForce RTX 4060 Ti Ventus 3X OC 8G GDDR6","2 179,00 zł","GeForce RTX 4060 Ti","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_15_40_23_170_00.jpg"
"1698054472-134","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1146023-karta-graficzna-nvidia-inno3d-geforce-rtx-4060-ti-twin-x2-oc-8gb-gddr6.html","Inno3D GeForce RTX 4060 Ti Twin X2 OC 8GB GDDR6","2 099,00 zł","GeForce RTX 4060 Ti","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_24_8_34_15_541_00.jpg"
"1698054477-135","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1171279-karta-graficzna-nvidia-msi-geforce-rtx-4070-ti-gaming-x-slim-white-12gb-gddr6x.html","MSI GeForce RTX 4070 Ti GAMING X SLIM WHITE 12GB GDDR6X","4 299,00 zł","GeForce RTX 4070 Ti","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_28_12_53_36_463_00.jpg"
