web-scraper-order,web-scraper-start-url,link,link-href,name,price,capacity,interface,readspeed,writespeed,image-src
"1698420733-397","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1053872-dysk-ssd-crucial-1tb-m2-pcie-nvme-p3.html","Crucial 1TB M.2 PCIe NVMe P3","249,00 zł","1000 GB","PCIe NVMe 3.0 x4","3500 MB/s","3000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_5_13_39_23_418_00.jpg"
"1698420737-398","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/623730-dysk-ssd-samsung-2tb-25-sata-ssd-870-evo.html","Samsung 2TB 2,5"" SATA SSD 870 EVO","689,00 zł","2000 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_25_12_40_53_262_00.jpg"
"1698420742-399","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/590730-dysk-ssd-lexar-256gb-25-sata-ssd-ns100.html","Lexar 256GB 2,5"" SATA SSD NS100","79,90 zł","256 GB","2,5"" SATA","520 MB/s","","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_21_9_26_2_138_02.jpg"
"1698420746-400","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/593197-dysk-ssd-samsung-500gb-m2-pcie-gen4-nvme-980-pro.html","Samsung 500GB M.2 PCIe Gen4 NVMe 980 PRO","289,00 zł","500 GB","PCIe NVMe 4.0 x4","6900 MB/s","5000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_23_13_18_23_888_01.jpg"
"1698420750-401","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1073277-dysk-ssd-wd-1tb-m2-pcie-gen4-nvme-black-sn850x.html","WD 1TB M.2 PCIe Gen4 NVMe Black SN850X","339,00 zł","1000 GB","PCIe NVMe 4.0 x4","7300 MB/s","6300 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_15_7_42_0_476_01.jpg"
"1698420755-402","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/500606-dysk-ssd-adata-1tb-m2-pcie-gen4-nvme-gammix-s70-blade.html","ADATA 1TB M.2 PCIe Gen4 NVMe GAMMIX S70 Blade","289,00 zł","1000 GB","PCIe NVMe 4.0 x4","7400 MB/s","5500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_8_8_3_59_550_02.jpg"
"1698420760-403","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1054326-dysk-ssd-wd-500gb-25-sata-ssd-blue-sa510.html","WD 500GB 2,5"" SATA SSD Blue SA510","184,00 zł","500 GB","2,5"" SATA","560 MB/s","510 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_6_9_26_22_166_02.jpg"
"1698420766-404","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/581060-dysk-ssd-kioxia-960gb-25-sata-ssd-exceria.html","KIOXIA 960GB 2,5"" SATA SSD EXCERIA","205,00 zł","960 GB","2,5"" SATA","555 MB/s","540 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_22_11_52_52_292_02.jpg"
"1698420770-405","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/578860-dysk-ssd-samsung-1tb-25-sata-ssd-870-qvo.html","Samsung 1TB 2,5"" SATA SSD 870 QVO","269,00 zł","1000 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_15_14_13_10_257_03.jpg"
"1698420775-406","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/590339-dysk-ssd-goodram-256gb-25-sata-ssd-cx400.html","GOODRAM 256GB 2,5"" SATA SSD CX400","95,00 zł","256 GB","2,5"" SATA","550 MB/s","480 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_9_11_23_36_983_00.jpg"
"1698420779-407","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1139540-dysk-ssd-gigabyte-500gb-m2-pcie-gen4-nvme-5000e.html","Gigabyte 500GB M.2 PCIe Gen4 NVMe 5000E","155,00 zł","500 GB","PCIe NVMe 4.0 x4","5000 MB/s","3800 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_31_11_40_3_642_00.jpg"
"1698420783-408","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/590732-dysk-ssd-lexar-512gb-25-sata-ssd-ns100.html","Lexar 512GB 2,5"" SATA SSD NS100","139,00 zł","512 GB","2,5"" SATA","550 MB/s","","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_21_9_26_2_138_02.jpg"
"1698420788-409","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1154596-dysk-ssd-lexar-4tb-m2-pcie-gen4-nvme-nm790.html","Lexar 4TB M.2 PCIe Gen4 NVMe NM790","999,00 zł","4000 GB","PCIe NVMe 4.0 x4","7400 MB/s","6500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_24_11_14_29_662_00.jpg"
"1698420793-410","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/620603-dysk-ssd-lexar-256gb-m2-pcie-nvme-nm620.html","Lexar 256GB M.2 PCIe NVMe NM620","89,90 zł","256 GB","PCIe NVMe 3.0 x4","3000 MB/s","1300 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_11_7_55_50_654_02.jpg"
"1698420798-411","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/696403-dysk-ssd-wd-1tb-m2-pcie-nvme-blue-sn570.html","WD 1TB M.2 PCIe NVMe Blue SN570","239,00 zł","1000 GB","PCIe NVMe 3.0 x4","3500 MB/s","3000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_9_14_30_46_659_01.jpg"
"1698420802-412","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/590340-dysk-ssd-goodram-1tb-25-sata-ssd-cx400.html","GOODRAM 1TB 2,5"" SATA SSD CX400","229,00 zł","1024 GB","2,5"" SATA","550 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_9_11_23_36_983_00.jpg"
"1698420806-413","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1160141-dysk-ssd-wd-1tb-m2-pcie-gen4-nvme-blue-sn580.html","WD 1TB M.2 PCIe Gen4 NVMe Blue SN580","279,00 zł","1000 GB","PCIe NVMe 4.0 x4","4150 MB/s","4150 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_10_15_54_26_117_00.jpg"
"1698420811-414","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/540688-dysk-ssd-crucial-1tb-25-sata-ssd-bx500.html","Crucial 1TB 2,5"" SATA SSD BX500","229,00 zł","1000 GB","2,5"" SATA","540 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/9/pr_2018_9_13_11_35_16_835_02.jpg"
"1698420816-415","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/447870-dysk-ssd-crucial-240gb-25-sata-ssd-bx500.html","Crucial 240GB 2,5"" SATA SSD BX500","99,00 zł","240 GB","2,5"" SATA","540 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/9/pr_2018_9_13_11_35_16_835_02.jpg"
"1698420821-416","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/590335-dysk-ssd-goodram-512gb-25-sata-ssd-cx400.html","GOODRAM 512GB 2,5"" SATA SSD CX400","136,00 zł","512 GB","2,5"" SATA","550 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_9_11_23_36_983_00.jpg"
"1698420825-417","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/581058-dysk-ssd-kioxia-480gb-25-sata-ssd-exceria.html","KIOXIA 480GB 2,5"" SATA SSD EXCERIA","123,00 zł","480 GB","2,5"" SATA","555 MB/s","540 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_22_11_52_18_732_02.jpg"
"1698420829-418","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/447721-dysk-ssd-gigabyte-256gb-25-sata-ssd.html","Gigabyte 256GB 2,5"" SATA SSD","85,00 zł","256 GB","2,5"" SATA","520 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/9/pr_2018_9_6_8_20_13_434_03.jpg"
"1698420834-419","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1066421-dysk-ssd-crucial-500gb-25-sata-ssd-bx500.html","Crucial 500GB 2,5"" SATA SSD BX500","155,00 zł","500 GB","2,5"" SATA","550 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/9/pr_2018_9_13_11_35_16_835_02.jpg"
"1698420840-420","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/621623-dysk-ssd-lexar-512gb-m2-pcie-nvme-nm620.html","Lexar 512GB M.2 PCIe NVMe NM620","149,00 zł","512 GB","PCIe NVMe 3.0 x4","3300 MB/s","2400 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_11_7_55_50_654_02.jpg"
